Título,Ano,Duração,Classificação Indicativa,Nota
1. Um Sonho de Liberdade,1994,2h 22m,16,9.3
2. O Poderoso Chefão,1972,2h 55m,14,9.2
3. Batman: O Cavaleiro das Trevas,2008,2h 32m,12,9.0
4. O Poderoso Chefão II,1974,3h 22m,14,9.0
5. 12 Homens e uma Sentença,1957,1h 36m,Livre,9.0
6. O Senhor dos Anéis: O Retorno do Rei,2003,3h 21m,14,9.0
7. A Lista de Schindler,1993,3h 15m,14,9.0
8. Pulp Fiction: Tempo de Violência,1994,2h 34m,18,8.9
9. O Senhor dos Anéis: A Sociedade do Anel,2001,2h 58m,12,8.9
10. Três Homens em Conflito,1966,2h 41m,14,8.8
11. Forrest Gump: O Contador de Histórias,1994,2h 22m,14,8.8
12. O Senhor dos Anéis: As Duas Torres,2002,2h 59m,12,8.8
13. Clube da Luta,1999,2h 19m,18,8.8
14. A Origem,2010,2h 28m,14,8.8
15. Star Wars: Episódio V - O Império Contra-Ataca,1980,2h 4m,Livre,8.7
16. Matrix,1999,2h 16m,14,8.7
17. Os Bons Companheiros,1990,2h 25m,14,8.7
18. Um Estranho no Ninho,1975,2h 13m,16,8.7
19. Interestelar,2014,2h 49m,10,8.7
20. Seven: Os Sete Crimes Capitais,1995,2h 7m,14,8.6
21. A Felicidade Não se Compra,1946,2h 10m,Livre,8.6
22. Os Sete Samurais,1954,3h 27m,10,8.6
23. O Silêncio dos Inocentes,1991,1h 58m,14,8.6
24. O Resgate do Soldado Ryan,1998,2h 49m,14,8.6
25. Cidade de Deus,2002,2h 10m,18,8.6
